count,stocks1,stocks2,percent2,percent1
456,3,2,11,146
457,3,2,11,146
458,3,2,11,148
459,3,2,11,148
460,3,2,11,148
461,3,2,11,148
462,3,2,11,148
463,3,2,11,148
464,3,2,11,148
465,3,2,11,148
466,3,2,11,148
467,3,2,11,148
468,3,2,11,148
469,3,2,11,148
470,3,2,11,148
471,3,2,11,148
472,3,2,11,148
473,3,2,11,148
474,3,2,11,148
475,3,2,11,168
476,3,2,11,168
477,3,2,11,168
478,2,2,11,0
479,2,2,11,0
480,2,2,11,0
481,2,2,11,0
482,2,2,11,0
483,2,2,11,0
484,2,2,11,0
485,2,2,11,0
486,2,2,11,0
487,2,2,11,0
488,2,2,11,0
489,2,2,11,0
490,2,2,11,0
491,2,2,11,0
492,2,2,11,0
493,2,2,11,0
494,2,2,11,0
495,2,2,18,0
496,2,2,18,0
497,2,2,18,0
498,2,2,18,0
499,2,2,18,0
500,2,2,18,0
501,2,2,18,16
502,2,2,18,16
503,2,2,18,16
504,2,2,18,16
505,2,2,18,16
506,2,2,18,16
507,2,2,18,16
508,2,2,18,16
509,2,2,18,24
510,2,2,18,35
511,2,2,18,35
512,2,2,18,35
513,2,2,18,35
514,2,2,18,35
515,2,2,18,48
516,2,2,18,48
517,2,2,18,48
518,2,2,18,48
519,2,2,18,48
520,2,2,18,48
521,2,2,18,48
522,2,2,18,48
523,2,2,45,48
524,2,2,45,48
525,2,2,45,48
526,2,2,45,48
527,2,2,45,48
528,2,2,45,48
529,2,2,45,48
530,2,2,53,48
531,2,2,53,48
532,2,2,53,48
533,2,2,53,48
534,2,2,53,48
535,2,2,53,48
536,2,2,65,48
537,2,2,65,48
538,2,2,65,48
539,2,2,65,48
540,2,2,65,60
541,2,2,65,60
542,2,2,65,60
543,2,2,65,60
544,2,2,65,60
545,2,2,65,60
546,2,2,65,60
547,2,2,65,60
548,2,2,65,60
549,2,2,65,67
550,2,2,65,67
551,2,2,65,67
552,2,2,65,67
553,2,2,65,67
554,2,2,65,67
555,2,2,65,67
556,2,2,65,67
557,2,1,0,67
558,2,1,0,67
559,2,1,0,67
560,2,1,0,67
561,2,1,0,67
562,2,1,0,67
563,2,1,0,67
564,2,1,0,67
565,2,1,0,67
566,2,1,0,67
567,2,1,0,67
568,2,1,0,67
569,2,1,0,67
570,2,1,0,67
571,2,1,0,67
572,2,1,0,67
573,2,1,0,67
574,2,1,0,67
575,2,1,0,67
576,2,1,0,67
577,2,1,0,67
578,2,1,0,70
579,2,1,0,70
580,2,1,0,73
581,2,1,0,73
582,2,1,0,73
583,2,1,0,78
584,2,1,0,82
585,2,1,0,82
586,2,1,0,82
587,2,1,0,82
588,2,1,0,82
589,2,1,0,82
590,2,1,0,82
591,2,1,0,82
592,2,1,0,82
593,2,1,0,82
594,2,1,0,82
595,2,1,0,82
596,2,1,0,82
597,2,1,0,87
598,2,1,0,87
599,2,1,0,98
600,2,1,0,98
601,2,1,0,98
602,2,1,0,98
603,2,1,0,98
604,2,1,0,98
605,2,1,0,98
606,2,1,0,98
607,2,1,0,98
608,2,1,0,98
609,2,1,0,98
610,2,1,0,98
611,2,1,0,98
612,2,1,0,98
613,2,1,0,98
614,2,1,0,98
615,2,1,0,98
616,2,1,0,98
617,2,1,0,98
618,2,1,0,98
619,2,1,0,98
620,2,1,0,98
621,2,1,0,98
622,2,1,18,98
623,2,1,18,98
624,2,1,18,98
625,2,1,18,98
626,2,1,18,98
627,2,1,35,98
628,2,1,35,98
